
movieId,title,genres
1,Resgate (2019),Action|Crime|Drama
2,O Comboio de Sal e Açúcar (2016),Adventure|Drama|War
3,Cidade de Deus (2002),Action|Crime|Drama
4,Bacurau (2019),Action|Mystery|Sci-Fi|Thriller
5,O Auto da Compadecida (2000),Adventure|Comedy|Fantasy
6,Central do Brasil (1998),Drama
7,Tropa de Elite (2007),Action|Crime|Drama|Thriller
8,Capitães de Abril (2000),Drama|History|War
9,Virgem Margarida (2012),Drama
10,O Pátio das Cantigas (2015),Comedy
11,Aquarius (2016),Drama
12,7 Prisioneiros (2021),Crime|Drama
13,Marighella (2019),Action|Drama|History
14,O Menino e o Mundo (2013),Animation|Adventure|Children
15,Snu (2019),Biography|Drama|Romance
16,A Última Vez que Vi Macau (2012),Drama|Musical|Mystery
17,Mussum: O Filmis (2023),Biography|Comedy|Drama
18,O Último Voo do Flamingo (2010),Drama|Mystery
19,Terra Sonâmbula (2007),Drama|Fantasy
20,A Herdade (2019),Drama
